category,image,item_id,like,link,price,review,title
Electric Skateboards,https://img.gkbcdn.com/p/2019-06-11/syl-06-electric-skateboard-black-1571991633506._w280_.jpg,425209,119,https://www.geekbuying.com/item/REDPAWZ-SYL-06-350W-Motors-4000mAh-Electric-Skateboard-Black-425209.html,$269.99,12,SYL-06 Electric Skateboard Dual 350W Motors 4000mAh Battery Max Speed 35km/h With Remote Control - Black
Bikes,https://img.gkbcdn.com/p/2022-10-28/engwe-engine-pro-folding-electric-bicycle-750w-48v-16ah-black-2359fc-1666945376315._w280_.jpg,497250,56,https://www.geekbuying.com/item/ENGWE-ENGINE-Pro-Folding-Electric-Bicycle-750W-48V-16Ah-Black-497250.html,$1398.11,8,ENGWE ENGINE Pro Folding Electric Bicycle 20*4 inch Fat Tire 750W Brushless Motor 48V 16Ah Battery 45km/h Max Speed up to 120km Range 8 Speed System LCD Smart Display Hydraulic Disc Brakes - Black
Bikes,https://img.gkbcdn.com/p/2021-04-01/fiido-d11-folding-electric-moped-bicycle-20--250w-motor-blue-1617240855685._w280_.jpg,425264,375,https://www.geekbuying.com/item/FIIDO-D11-Folding-Electric-Moped-Bicycle-20--250W-Motor-Blue-425264.html,$976.73,25,FIIDO D11 Folding Electric Moped Bicycle 20 Inches Tires 250W Motor 25km/h Max Speed Three Modes 36V 11.6AH Lithium Battery 100km Range Adjustable Seat Dual Disc Brakes with LCD Display for Adults Teenagers + Mudguards - Blue
Bikes,https://img.gkbcdn.com/p/2022-11-02/JOYOR-S5-Electric-Scooter-48V-13Ah-Battery-Black-518082-0._w280_.jpg,518082,3,https://www.geekbuying.com/item/JOYOR-S5-Electric-Scooter-10-Inch-600W-25Km-h-48V-13Ah-Battery-Black-518082.html,$719.99,,JOYOR S5 Electric Scooter 10 Inch Tires 48V 13Ah Battery 600W Motor 25Km/h Max Speed 40-55KM Range Dual Disc Brakes Cruise Control Black
Travel Supplies,https://img.gkbcdn.com/p/2022-11-07/Xiaomi-Mijia-Multifunction-Flashlight-1000-Lumen-518142-0._w280_.jpg,518142,0,https://www.geekbuying.com/item/Xiaomi-Mijia-Multifunction-Flashlight-1000-Lumen-518142.html,$45.99,,Xiaomi Mijia Multifunction Flashlight 1000 Lumens Strobe/SOS/Warning 3100mAh Battery Window Destroyer Seat Belt Cutter
Travel Supplies,https://img.gkbcdn.com/p/2022-11-07/Xiaomi-Mijia-Automatic-Folding-Umbrella-518141-0._w280_.jpg,518141,1,https://www.geekbuying.com/item/Xiaomi-Mijia-Automatic-Folding-Umbrella-518141.html,$27.99,,Xiaomi Mijia Automatic Folding Umbrella Sunny Rainy Aluminum Windproof Waterproof UV Man and Woman Summer Winter Umbrella
Bikes,https://img.gkbcdn.com/p/2022-11-07/WELKIN-WKEM003-Electric-Bike-Retro-Bicycle-1200W-Motor-Black-518140-0._w280_.jpg,518140,0,https://www.geekbuying.com/item/WELKIN-WKEM003-Electric-Bike-20-Inch-45Km-h-48V-18AH-1200W-Motor-Black-518140.html,$1199.99,,WELKIN WKEM003 Electric Bike 20*4.0 Inch Fat Tires Retro Bicycle 1200W Motor 48V 18Ah Battery 60-70KM Range 45Km/h Max Speed 200KG Max Load - Black
Electric Scooters,https://img.gkbcdn.com/p/2022-11-07/JOYOR-S8-S-Folding-Electric-Scooter-600W-2-Dual-Motors-518139-0._w280_.jpg,518139,0,https://www.geekbuying.com/item/JOYOR-S8-S-Electric-Scooter-10-Inch-55Km-h-26AH-600W-2-Dual-Motors-518139.html,$959.99,,JOYOR S8-S Folding Electric Scooter 600W*2 Dual Motors 48V 26Ah Battery 10 Inch Tires 55Km/h Max Speed 90KM Long Range Dual Hydraulic Brake 150KG Load
Bikes,https://img.gkbcdn.com/p/2022-11-07/JOYOR-Y5S-Electric-Scooter-36-9-Miles-Long-Range-500W-Motor-Black-518138-0._w280_.jpg,518138,0,https://www.geekbuying.com/item/JOYOR-Y5S-Electric-Scooter-10-Inch-38Km-h-48V-13AH-500W-Motor-Black-518138.html,$579.99,,JOYOR Y5-S Electric Scooter with Seat 10 Inch Tires 13Ah 48V Battery 500W Brushless Motor 38Km/h Max Speed 120KG Load 36.9 Miles Long Range - Black
Bikes,https://img.gkbcdn.com/p/2022-11-07/JOYOR-Y1-Electric-Scooter-8Ah-Battery--400W-Motor-Black-518137-0._w280_.jpg,518137,0,https://www.geekbuying.com/item/JOYOR-Y1-Electric-Scooter-10-Inch-8Ah-Battery-35Km-h-400W-Motor-Black-518137.html,$359.99,,JOYOR Y1 Electric Scooter 10 Inch Tires 36V 8Ah Battery 400W Motor 35Km/h Max Speed 120KG Load with Seat Black
Bikes,https://img.gkbcdn.com/p/2022-10-13/eleglide-tankroll-fat-bike-26-inch-48v-10ah-25km-h-speed-dd35bb-1665641306479._w280_.jpg,516643,7,https://www.geekbuying.com/item/Eleglide-Tankroll-Fat-Bike-26-Inch-48V-10Ah-25Km-h-Speed-516643.html,$1124.35,7,Eleglide Tankroll Electric Mountain Bike 26*4.0 Inch Fat Tires Max Instant Power 740W Motor 25Km/h Speed 48V 10Ah Battery Shimano 7-Speed Gear 70KM Top Range Dual Disc Brake 57N.m Max Torque Powerful Motor Moped Fat Bike
Accessories,https://img.gkbcdn.com/p/2022-05-28/Battery-Pack-for-Eleglide-T1---T1-Setp-thru-501386-0._w280_.jpg,501386,23,https://www.geekbuying.com/item/36V-12-5AH-Battery-Pack-for-Eleglide-T1---T1-Step-Thru-501386.html,$209.99,,36V 12.5AH Battery Pack Spare Part for Eleglide T1 & T1 Step-Thru 450Wh 18650 Lithium-ion Battery
Bikes,https://img.gkbcdn.com/p/2022-02-24/engwe-c20-pro-folding-electric-bicycle-67247a-1645673469050._w280_.jpg,496846,43,https://www.geekbuying.com/item/ENGWE-C20-Pro-Folding-Electric-Bicycle-36V-19-2Ah-250W-Motor-496846.html,$879.92,10,ENGWE C20 Pro Folding Electric Bicycle 20 Inch Tires 250W Brushless Motor 36V 19.2Ah Battery 25km/h Max Speed - Gray
Portable Power Stations,https://img.gkbcdn.com/p/2022-09-13/Flashfish-A201-200W-172-8WH-Portable-Power-Station-EU-Plug-517001-0._w280_.jpg,517001,10,https://www.geekbuying.com/item/Flashfish-A201-200W-172-8WH-Portable-Power-Station-EU-Plug-517001.html,$149.99,5,"Flashfish A201 200W Portable Power Station, 172.8WH/48000mAh Solar Generator Backup Battery Pack with 220V AC Sockets - EU Plug"
Fitness,https://img.gkbcdn.com/p/2020-01-13/xiaomi-walkingpad-c1-fitness-walking-machine-gray-1578911381061._w280_.jpg,422800,495,https://www.geekbuying.com/item/Xiaomi-WalkingPad-C1-Fitness-Walking-Machine-Gray-422800.html,$359.99,52,KingSmith WalkingPad C1 Fitness Walking Machine Foldable Electric Gym Equipment App Control From Xiaomi Youpin - Gray
Electric Skateboards,https://img.gkbcdn.com/p/2022-05-16/syl-08-electric-skateboard-off-road-with-remote-control-black-4f74ea-1652693480974._w280_.jpg,494878,29,https://www.geekbuying.com/item/SYL-08-Electric-Skateboard-Off-Road-With-Remote-Control-Black-494878.html,$509.99,7,SYL-08 V3 Version Electric Off Road Skateboard With Remote Control 1450W Motor up to 38km/h 10Ah Battery Maple Plank 8 inch Wheel Max load 130kg Left Foot Front Regular Stance - Black
